ExpectedRC,Command
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%-98$s)' --duration 1m -id com.aerospike.idmanager.IdChainSampler --IdGremlinQuery 'g.with(''evaluationTimeout'',3000000).V().has(''airport'',''code'',within(''SFO'')).as(''start'').repeat(out(''route'').simplePath()).emit(not(out(''route'')).or().loops().is(3)).times(3).path().by(id).as(''p'').select(''start'',''p'').by(id).by().group().by(''start'').by(''p'').unfold().project(''startId'',''paths'').by(keys).by(values).toList()' -prom -background"
0|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration 5m -id com.aerospike.idmanager.IdChainSampler --IdGremlinQuery 'g.with(''evaluationTimeout'',3000000).V().has(''airport'',''code'',within(''SFO'')).as(''start'').repeat(out(''route'').simplePath()).emit(not(out(''route'')).or().loops().is(3)).times(3).path().by(id).as(''p'').select(''start'',''p'').by(id).by().group().by(''start'').by(''p'').unfold().project(''startId'',''paths'').by(keys).by(values).toList()' -prom -background"
0|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration 5m -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-Parents-Export.csv' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-Export.csv' -background"
4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler --IdGremlinQuery 'g.with(''evaluationTimeout'',300).V().has(''airport'',''code'',within(''SFO'')).as(''start'').repeat(out(''route'').simplePath()).emit(not(out(''route'')).or().loops().is(5)).times(5).path().by(id).as(''p'').select(''start'',''p'').by(id).by().group().by(''start'').by(''p'').unfold().project(''startId'',''paths'').by(keys).by(values).toList()' -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration PT15S -id null --IdGremlinQuery 'g.with(''evaluationTimeout'',3000000).V().has(''airport'',''code'',within(''SFO'')).as(''start'').repeat(out(''route'').simplePath()).emit(not(out(''route'')).or().loops().is(3)).times(3).path().by(id).as(''p'').select(''start'',''p'').by(id).by().group().by(''start'').by(''p'').unfold().project(''startId'',''paths'').by(keys).by(values).toList()' -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s).limit(2)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler --IdGremlinQuery 'g.with(''evaluationTimeout'',3000).V(23).path().by(id)' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s).outE().inV().hasId(%1$s)' --duration PT15S -background"
0|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s).outE().inV().hasId(%2$s)' --duration PT1m -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-results.csv' -prom -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s).outE().inV().hasId(%2$s)' --duration PT15S -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s).outE().inV().hasId(%5$s)' --duration 15s -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-results.csv' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s).out().count()' --duration PT15S -background"
0|3,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%1$s,%2$s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler --IdGremlinQuery 'g.with(''evaluationTimeout'',3000000).V().has(''airport'',''code'',within(''SFO'')).as(''start'').repeat(out(''route'').simplePath()).emit(not(out(''route'')).or().loops().is(3)).times(3).path().by(id).as(''p'').select(''start'',''p'').by(id).by().group().by(''start'').by(''p'').unfold().project(''startId'',''paths'').by(keys).by(values).toList()' -export './src/test/SFO-Parents-Export.csv' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%8$s).outE().inV().hasId(%4$s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-results.csv' -export './src/test/SFO-B-Export.csv' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%8$s).outE().inV().hasId(%4$s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-results.csv' -background"
0|3,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).outE().inV().hasId(%s)' --duration PT15S -id com.aerospike.idmanager.IdChainSampler -import './src/test/SFO-B-results.csv' -background"
0|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().count().toList()' --duration 2M -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().count().toList()' --duration PT15S -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s,%s).limit(4)' --duration PT15S -wm 15s -qps 100 -incr 25 -end 200 -background"
0|3|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s,%s).limit(4)' --duration PT15S -wm 15s -qps 10000 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s,%s).limit(4)' --duration PT15S -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).nopath().by(values(''code'',''city'').fold())' -d 15 -s 2 -prom -background"
1,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar TestRun --IdManager List -background"
0|4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().count().toList()' -d 1H -s 5 -w 20 -q 1500 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().count().toList()' -d 1M -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().count().toList()' -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).path().by(values(''code'',''city'').fold())' -d 1M -s 2 -prom -label airport,country -background"
4,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).path().by(values(''code'',''city'').fold())' -d 15 -s 2 -prom -label nolabel -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).path().by(values(''code'',''city'').fold())' -d PT5M -wu PT2M -s 2 -prom -label airport -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).path().by(values(''code'',''city'').fold())' -d PT5M -wu PT2M -s 2 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(3).out().limit(5).path().by(values(''code'',''city'').fold()).tolist()' -d 5M -wu 2M -s 1 -w 50 -id null -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(3).out().limit(5).path().by(values(''code'',''city'').fold()).tolist()' -d 5M -wu 2M -s 1 -w 50 -sample 0 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out().limit(5).path().by(values(''code'',''city'').fold()).tolist()' -d 5M -wu 2M -s 1 -w 50 -sample 1000 -prom -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out(''REL_DEVICE_TO_INDIVIDUAL'').in(''REL_DEVICE_TO_INDIVIDUAL'')' -r -d 30 -background"
5,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out(''REL_DEVICE_TO_INDIVIDUAL'').in(''REL_DEVICE_TO_INDIVIDUAL'')' -a 34.173.95.112 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V(%s).out(''REL_DEVICE_TO_INDIVIDUAL'').in(''REL_DEVICE_TO_INDIVIDUAL'')' -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar AirRoutesQuery2 -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar --version"
0,"-Dlogback.configurationFile=./src/test/java/logback.xml -jar ./target/tinkerbench-*-jar-with-dependencies.jar TestRun -d 15s -wm 15s -q 100 -incr 25 -end 200 -s 4 -background"
0,"-Dlogback.configurationFile=./src/test/java/logback.xml -jar ./target/tinkerbench-*-jar-with-dependencies.jar TestRun -d 1m -wm 1m -q 100 -incr 25 -end 200 -s 4 -prom -background"
0,"-Dlogback.configurationFile=./src/test/java/logback.xml -jar ./target/tinkerbench-*-jar-with-dependencies.jar TestRun -s 1 -d 30 -debug -background"
0,"-jar ./target/tinkerbench-*-jar-with-dependencies.jar 'g.V().has(''code'',%1$s).repeat(out(''route'')).times(3).has(''code'',%4$s).path().by(''code'')' -d 15s -wu 0 -IdQry 'g.V().has(''code'',''ORD'').as(''s'').out(''route'').out(''route'').out(''route'').has(''code'',''SFO'').project(''startid'',''path'').by(select(''s'').values(''code'')).by(path().by(''code''))' -background"
